07/05/2015 07:19 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 07/05/2015 7:19
07/05/2015 07:34 - ROBERTA | ID_USUARIO = 10935 | DATA_LOGIN = 07/05/2015 7:34
07/05/2015 07:34 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 07/05/2015 7:34
07/05/2015 07:36 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 07/05/2015 7:36
07/05/2015 07:38 - TIAGOLIMA | ID_USUARIO = 11092 | DATA_LOGIN = 07/05/2015 7:38
07/05/2015 07:53 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 07/05/2015 7:53
07/05/2015 07:53 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 07/05/2015 7:53
07/05/2015 07:54 - SERGIO_SOUZA | ID_USUARIO = 11007 | DATA_LOGIN = 07/05/2015 7:54
07/05/2015 07:54 - SERGIO_SOUZA | ID_USUARIO = 11007 | DATA_LOGIN = 07/05/2015 7:54
07/05/2015 07:54 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 07/05/2015 7:54
