05/08/2016 07:25 - ROBSONMANFRIM | USUARIO = 11234 | CI = 16912 | STATUS = 3 | DATA = 05/08/2016 7:25 | MOTIVO_CANCELAMENTO = 
05/08/2016 07:26 - ROBSONMANFRIM | USUARIO = 11234 | CI = 16941 | STATUS = 7 | DATA = 05/08/2016 7:26 | MOTIVO_CANCELAMENTO = 
05/08/2016 07:26 - ROBSONMANFRIM | USUARIO = 11234 | CI = 16941 | STATUS = 3 | DATA = 05/08/2016 7:26 | MOTIVO_CANCELAMENTO = 
05/08/2016 08:01 - DORACI | USUARIO = 10886 | CI = 16953 | STATUS = 7 | DATA = 05/08/2016 8:01 | MOTIVO_CANCELAMENTO = 
05/08/2016 08:01 - DORACI | USUARIO = 10886 | CI = 16953 | STATUS = 3 | DATA = 05/08/2016 8:01 | MOTIVO_CANCELAMENTO = 
05/08/2016 08:04 - AREIAS | USUARIO = 10997 | CI = 16931 | STATUS = 7 | DATA = 05/08/2016 8:04 | MOTIVO_CANCELAMENTO = 
05/08/2016 08:04 - AREIAS | USUARIO = 10997 | CI = 16933 | STATUS = 7 | DATA = 05/08/2016 8:04 | MOTIVO_CANCELAMENTO = 
05/08/2016 11:07 - LUIDE | USUARIO = 10836 | CI = 16947 | STATUS = 3 | DATA = 05/08/2016 11:07 | MOTIVO_CANCELAMENTO = 
05/08/2016 11:07 - LUIDE | USUARIO = 10836 | CI = 16956 | STATUS = 3 | DATA = 05/08/2016 11:07 | MOTIVO_CANCELAMENTO = 
05/08/2016 11:24 - ROBSONMANFRIM | USUARIO = 11234 | CI = 16944 | STATUS = 7 | DATA = 05/08/2016 11:24 | MOTIVO_CANCELAMENTO = 
05/08/2016 12:38 - ZEZE | USUARIO = 10931 | CI = 16931 | STATUS = 3 | DATA = 05/08/2016 12:38 | MOTIVO_CANCELAMENTO = 
05/08/2016 12:38 - ZEZE | USUARIO = 10931 | CI = 16959 | STATUS = 7 | DATA = 05/08/2016 12:38 | MOTIVO_CANCELAMENTO = 
05/08/2016 13:03 - AREIAS | USUARIO = 10997 | CI = 16958 | STATUS = 7 | DATA = 05/08/2016 13:03 | MOTIVO_CANCELAMENTO = 
05/08/2016 14:04 - JT | USUARIO = 10823 | CI = 16933 | STATUS = 3 | DATA = 05/08/2016 14:04 | MOTIVO_CANCELAMENTO = 
05/08/2016 14:04 - JT | USUARIO = 10823 | CI = 16958 | STATUS = 3 | DATA = 05/08/2016 14:04 | MOTIVO_CANCELAMENTO = 
05/08/2016 14:26 - OSNY | USUARIO = 10826 | CI = 16963 | STATUS = 7 | DATA = 05/08/2016 14:26 | MOTIVO_CANCELAMENTO = 
05/08/2016 14:26 - OSNY | USUARIO = 10826 | CI = 16963 | STATUS = 3 | DATA = 05/08/2016 14:26 | MOTIVO_CANCELAMENTO = 
05/08/2016 14:49 - DORACI | USUARIO = 10886 | CI = 16964 | STATUS = 7 | DATA = 05/08/2016 14:49 | MOTIVO_CANCELAMENTO = 
05/08/2016 15:55 - GISELERATEIRO | USUARIO = 11143 | CI = 16965 | STATUS = 7 | DATA = 05/08/2016 15:55 | MOTIVO_CANCELAMENTO = 
05/08/2016 15:56 - SYLVIO | USUARIO = 10914 | CI = 16965 | STATUS = 3 | DATA = 05/08/2016 15:56 | MOTIVO_CANCELAMENTO = 
05/08/2016 15:57 - SYLVIO | USUARIO = 10914 | CI = 16964 | STATUS = 3 | DATA = 05/08/2016 15:57 | MOTIVO_CANCELAMENTO = 
05/08/2016 16:01 - DOUGLAS | USUARIO = 11530 | CI = 16959 | STATUS = 3 | DATA = 05/08/2016 16:01 | MOTIVO_CANCELAMENTO = 
05/08/2016 16:01 - DOUGLAS | USUARIO = 11530 | CI = 16964 | STATUS = 3 | DATA = 05/08/2016 16:01 | MOTIVO_CANCELAMENTO = 
05/08/2016 16:01 - DOUGLAS | USUARIO = 11530 | CI = 16965 | STATUS = 3 | DATA = 05/08/2016 16:01 | MOTIVO_CANCELAMENTO = 
05/08/2016 16:01 - DOUGLAS | USUARIO = 11530 | CI = 16944 | STATUS = 3 | DATA = 05/08/2016 16:01 | MOTIVO_CANCELAMENTO = 
