06/10/2017 10:29 - MARTA | USUARIO = 10847 | CI = 22222 | STATUS = 3 | DATA = 06/10/2017 10:29 | MOTIVO_CANCELAMENTO = 
06/10/2017 10:34 - ZEZE | USUARIO = 10931 | CI = 22216 | STATUS = 3 | DATA = 06/10/2017 10:34 | MOTIVO_CANCELAMENTO = 
06/10/2017 10:48 - JOAOROGANTE | USUARIO = 6966 | CI = 22101 | STATUS = 7 | DATA = 06/10/2017 10:48 | MOTIVO_CANCELAMENTO = Aprovado.
06/10/2017 10:48 - JOAOROGANTE | USUARIO = 6966 | CI = 22101 | STATUS = 3 | DATA = 06/10/2017 10:48 | MOTIVO_CANCELAMENTO = Aprovado.
06/10/2017 10:48 - JOAOROGANTE | USUARIO = 6966 | CI = 22176 | STATUS = 7 | DATA = 06/10/2017 10:48 | MOTIVO_CANCELAMENTO = Aprovado.
06/10/2017 10:48 - JOAOROGANTE | USUARIO = 6966 | CI = 22176 | STATUS = 3 | DATA = 06/10/2017 10:48 | MOTIVO_CANCELAMENTO = Aprovado.
06/10/2017 10:57 - ZEZE | USUARIO = 10931 | CI = 22223 | STATUS = 7 | DATA = 06/10/2017 10:57 | MOTIVO_CANCELAMENTO = 
06/10/2017 10:57 - ZEZE | USUARIO = 10931 | CI = 22223 | STATUS = 3 | DATA = 06/10/2017 10:57 | MOTIVO_CANCELAMENTO = 
06/10/2017 11:17 - OTAVIOGIRO | USUARIO = 526 | CI = 22108 | STATUS = 5 | DATA = 06/10/2017 11:17 | MOTIVO_CANCELAMENTO = ALTERAR CENTRO DE CUSTO
06/10/2017 11:52 - JOAOROGANTE | USUARIO = 6966 | CI = 21410 | STATUS = 7 | DATA = 06/10/2017 11:52 | MOTIVO_CANCELAMENTO = Aprovado.
06/10/2017 11:52 - JOAOROGANTE | USUARIO = 6966 | CI = 21410 | STATUS = 3 | DATA = 06/10/2017 11:52 | MOTIVO_CANCELAMENTO = Aprovado.
06/10/2017 11:52 - JOAOROGANTE | USUARIO = 6966 | CI = 22224 | STATUS = 7 | DATA = 06/10/2017 11:52 | MOTIVO_CANCELAMENTO = Aprovado.
06/10/2017 13:45 - DOUGLAS | USUARIO = 11530 | CI = 22215 | STATUS = 3 | DATA = 06/10/2017 13:45 | MOTIVO_CANCELAMENTO = 
