05/10/2015 22:30 - FERNANDO | ID_USUARIO = 10842 | DATA_LOGIN = 05/10/2015 22:30
05/10/2015 23:12 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 05/10/2015 23:12
06/10/2015 04:21 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/10/2015 4:21
06/10/2015 06:08 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/10/2015 6:08
06/10/2015 06:56 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/10/2015 6:56
06/10/2015 07:07 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/10/2015 7:07
06/10/2015 07:08 - BRUNOCAMAROTTI | ID_USUARIO = 11392 | DATA_LOGIN = 06/10/2015 7:08
06/10/2015 07:08 - BRUNOCAMAROTTI | ID_USUARIO = 11392 | DATA_LOGIN = 06/10/2015 7:08
06/10/2015 07:12 - VALDEREZ | ID_USUARIO = 10871 | DATA_LOGIN = 06/10/2015 7:12
06/10/2015 07:14 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 06/10/2015 7:14
06/10/2015 07:18 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/10/2015 7:18
06/10/2015 07:22 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 06/10/2015 7:22
06/10/2015 07:38 - VALDEREZ | ID_USUARIO = 10871 | DATA_LOGIN = 06/10/2015 7:38
06/10/2015 07:39 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 06/10/2015 7:39
06/10/2015 07:48 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 06/10/2015 7:48
06/10/2015 07:57 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 06/10/2015 7:57
06/10/2015 07:57 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 06/10/2015 7:57
06/10/2015 08:00 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 06/10/2015 8:00
06/10/2015 08:01 - VALDEREZ | ID_USUARIO = 10871 | DATA_LOGIN = 06/10/2015 8:01
06/10/2015 08:31 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 06/10/2015 8:31
06/10/2015 08:33 - TIAGOLIMA | ID_USUARIO = 11092 | DATA_LOGIN = 06/10/2015 8:33
06/10/2015 09:07 - ROBSONMANFRIM | ID_USUARIO = 11234 | DATA_LOGIN = 06/10/2015 9:07
06/10/2015 09:09 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 06/10/2015 9:09
06/10/2015 09:11 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 06/10/2015 9:11
06/10/2015 09:14 - TIAGOLIMA | ID_USUARIO = 11092 | DATA_LOGIN = 06/10/2015 9:14
06/10/2015 09:22 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/10/2015 9:22
