05/09/2017 15:43 - ZEZE | USUARIO = 10931 | CI = 21890 | STATUS = 3 | DATA = 05/09/2017 15:43 | MOTIVO_CANCELAMENTO = 
05/09/2017 15:43 - ZEZE | USUARIO = 10931 | CI = 21891 | STATUS = 7 | DATA = 05/09/2017 15:43 | MOTIVO_CANCELAMENTO = 
05/09/2017 15:43 - ZEZE | USUARIO = 10931 | CI = 21892 | STATUS = 7 | DATA = 05/09/2017 15:43 | MOTIVO_CANCELAMENTO = 
05/09/2017 15:43 - ZEZE | USUARIO = 10931 | CI = 21892 | STATUS = 3 | DATA = 05/09/2017 15:43 | MOTIVO_CANCELAMENTO = 
06/09/2017 08:05 - RODRIGO_POIT | USUARIO = 11086 | CI = 21865 | STATUS = 5 | DATA = 06/09/2017 8:05 | MOTIVO_CANCELAMENTO = Cancelado, peguei vale no valor de R$150,00 com a Elissandra no dia 06/09/2017, para utilizar na audiência, após irei fazer uma CI de prestação de contas.
06/09/2017 08:06 - ACIR | USUARIO = 10839 | CI = 21887 | STATUS = 7 | DATA = 06/09/2017 8:06 | MOTIVO_CANCELAMENTO = 
06/09/2017 08:06 - ACIR | USUARIO = 10839 | CI = 21887 | STATUS = 3 | DATA = 06/09/2017 8:06 | MOTIVO_CANCELAMENTO = 
06/09/2017 08:07 - ACIR | USUARIO = 10839 | CI = 21882 | STATUS = 3 | DATA = 06/09/2017 8:07 | MOTIVO_CANCELAMENTO = 
06/09/2017 08:07 - ACIR | USUARIO = 10839 | CI = 21869 | STATUS = 7 | DATA = 06/09/2017 8:07 | MOTIVO_CANCELAMENTO = 
06/09/2017 08:09 - ACIR | USUARIO = 10839 | CI = 21829 | STATUS = 7 | DATA = 06/09/2017 8:09 | MOTIVO_CANCELAMENTO = 
06/09/2017 08:09 - ACIR | USUARIO = 10839 | CI = 21829 | STATUS = 3 | DATA = 06/09/2017 8:09 | MOTIVO_CANCELAMENTO = 
06/09/2017 08:10 - ACIR | USUARIO = 10839 | CI = 21809 | STATUS = 7 | DATA = 06/09/2017 8:10 | MOTIVO_CANCELAMENTO = 
06/09/2017 08:10 - ACIR | USUARIO = 10839 | CI = 21806 | STATUS = 7 | DATA = 06/09/2017 8:10 | MOTIVO_CANCELAMENTO = 
06/09/2017 08:14 - DOUGLAS | USUARIO = 11530 | CI = 21806 | STATUS = 3 | DATA = 06/09/2017 8:14 | MOTIVO_CANCELAMENTO = 
06/09/2017 08:14 - DOUGLAS | USUARIO = 11530 | CI = 21809 | STATUS = 3 | DATA = 06/09/2017 8:14 | MOTIVO_CANCELAMENTO = 
06/09/2017 08:14 - DOUGLAS | USUARIO = 11530 | CI = 21869 | STATUS = 3 | DATA = 06/09/2017 8:14 | MOTIVO_CANCELAMENTO = mediante aprovação ACC
06/09/2017 08:14 - DOUGLAS | USUARIO = 11530 | CI = 21889 | STATUS = 3 | DATA = 06/09/2017 8:14 | MOTIVO_CANCELAMENTO = 
06/09/2017 08:15 - DOUGLAS | USUARIO = 11530 | CI = 21891 | STATUS = 3 | DATA = 06/09/2017 8:15 | MOTIVO_CANCELAMENTO = 
06/09/2017 08:15 - DOUGLAS | USUARIO = 11530 | CI = 21894 | STATUS = 3 | DATA = 06/09/2017 8:15 | MOTIVO_CANCELAMENTO = 
06/09/2017 08:19 - ACIR | USUARIO = 10839 | CI = 21799 | STATUS = 7 | DATA = 06/09/2017 8:18 | MOTIVO_CANCELAMENTO = 
06/09/2017 08:19 - ACIR | USUARIO = 10839 | CI = 21803 | STATUS = 7 | DATA = 06/09/2017 8:19 | MOTIVO_CANCELAMENTO = 
