03/03/2016 14:29 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 03/03/2016 14:29
03/03/2016 14:31 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 03/03/2016 14:31
03/03/2016 14:34 - FERNANDO | ID_USUARIO = 10842 | DATA_LOGIN = 03/03/2016 14:34
03/03/2016 14:39 - MARCOS | ID_USUARIO = 10921 | DATA_LOGIN = 03/03/2016 14:39
03/03/2016 14:49 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 03/03/2016 14:49
03/03/2016 14:51 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/03/2016 14:51
03/03/2016 15:01 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 03/03/2016 15:01
03/03/2016 15:06 - RONALDSIQUEIRA | ID_USUARIO = 11221 | DATA_LOGIN = 03/03/2016 15:06
03/03/2016 15:14 - REGI | ID_USUARIO = 10864 | DATA_LOGIN = 03/03/2016 15:14
03/03/2016 15:21 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 03/03/2016 15:21
03/03/2016 15:22 - MARCOS | ID_USUARIO = 10921 | DATA_LOGIN = 03/03/2016 15:22
03/03/2016 15:22 - RONALDSIQUEIRA | ID_USUARIO = 11221 | DATA_LOGIN = 03/03/2016 15:22
03/03/2016 15:23 - LUIDE | ID_USUARIO = 10836 | DATA_LOGIN = 03/03/2016 15:23
03/03/2016 15:24 - RONALDSIQUEIRA | ID_USUARIO = 11221 | DATA_LOGIN = 03/03/2016 15:24
03/03/2016 15:33 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 03/03/2016 15:33
03/03/2016 15:36 - MARCOS | ID_USUARIO = 10921 | DATA_LOGIN = 03/03/2016 15:36
03/03/2016 15:56 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/03/2016 15:56
