07/10/2015 15:59 - SYLVIO | USUARIO = 10914 | CI = 13471 | STATUS = 3 | DATA = 07/10/2015 15:59 | MOTIVO_CANCELAMENTO = 
07/10/2015 15:59 - SYLVIO | USUARIO = 10914 | CI = 13422 | STATUS = 3 | DATA = 07/10/2015 15:59 | MOTIVO_CANCELAMENTO = 
07/10/2015 15:59 - SYLVIO | USUARIO = 10914 | CI = 13460 | STATUS = 3 | DATA = 07/10/2015 15:59 | MOTIVO_CANCELAMENTO = 
07/10/2015 16:47 - ROBSONMANFRIM | USUARIO = 11234 | CI = 13487 | STATUS = 7 | DATA = 07/10/2015 16:47 | MOTIVO_CANCELAMENTO = 
07/10/2015 16:47 - ROBSONMANFRIM | USUARIO = 11234 | CI = 13487 | STATUS = 3 | DATA = 07/10/2015 16:47 | MOTIVO_CANCELAMENTO = 
07/10/2015 17:00 - ZEZE | USUARIO = 10931 | CI = 13491 | STATUS = 7 | DATA = 07/10/2015 17:00 | MOTIVO_CANCELAMENTO = 
07/10/2015 17:00 - ZEZE | USUARIO = 10931 | CI = 13491 | STATUS = 3 | DATA = 07/10/2015 17:00 | MOTIVO_CANCELAMENTO = 
07/10/2015 17:01 - ZEZE | USUARIO = 10931 | CI = 13492 | STATUS = 7 | DATA = 07/10/2015 17:01 | MOTIVO_CANCELAMENTO = 
07/10/2015 17:01 - ZEZE | USUARIO = 10931 | CI = 13492 | STATUS = 3 | DATA = 07/10/2015 17:01 | MOTIVO_CANCELAMENTO = 
08/10/2015 07:57 - DORACI | USUARIO = 10886 | CI = 13494 | STATUS = 7 | DATA = 08/10/2015 7:57 | MOTIVO_CANCELAMENTO = 
08/10/2015 08:05 - ROBERTA | USUARIO = 10935 | CI = 13496 | STATUS = 5 | DATA = 08/10/2015 8:05 | MOTIVO_CANCELAMENTO = CI em duplicidade
08/10/2015 08:05 - DORACI | USUARIO = 10886 | CI = 13495 | STATUS = 7 | DATA = 08/10/2015 8:05 | MOTIVO_CANCELAMENTO = 
08/10/2015 08:05 - DORACI | USUARIO = 10886 | CI = 13495 | STATUS = 3 | DATA = 08/10/2015 8:05 | MOTIVO_CANCELAMENTO = 
08/10/2015 08:56 - SYLVIO | USUARIO = 10914 | CI = 13442 | STATUS = 3 | DATA = 08/10/2015 8:56 | MOTIVO_CANCELAMENTO = 
08/10/2015 11:08 - EDUARDO | USUARIO = 10844 | CI = 13497 | STATUS = 3 | DATA = 08/10/2015 11:08 | MOTIVO_CANCELAMENTO = 
08/10/2015 11:08 - EDUARDO | USUARIO = 10844 | CI = 13494 | STATUS = 3 | DATA = 08/10/2015 11:08 | MOTIVO_CANCELAMENTO = 
08/10/2015 11:08 - EDUARDO | USUARIO = 10844 | CI = 13466 | STATUS = 3 | DATA = 08/10/2015 11:08 | MOTIVO_CANCELAMENTO = 
08/10/2015 11:18 - ZEZE | USUARIO = 10931 | CI = 13499 | STATUS = 7 | DATA = 08/10/2015 11:18 | MOTIVO_CANCELAMENTO = 
08/10/2015 11:18 - ZEZE | USUARIO = 10931 | CI = 13499 | STATUS = 3 | DATA = 08/10/2015 11:18 | MOTIVO_CANCELAMENTO = 
08/10/2015 11:18 - ZEZE | USUARIO = 10931 | CI = 13500 | STATUS = 7 | DATA = 08/10/2015 11:18 | MOTIVO_CANCELAMENTO = 
08/10/2015 11:18 - ZEZE | USUARIO = 10931 | CI = 13500 | STATUS = 3 | DATA = 08/10/2015 11:18 | MOTIVO_CANCELAMENTO = 
08/10/2015 13:28 - DORACI | USUARIO = 10886 | CI = 13502 | STATUS = 7 | DATA = 08/10/2015 13:28 | MOTIVO_CANCELAMENTO = 
08/10/2015 13:28 - DORACI | USUARIO = 10886 | CI = 13502 | STATUS = 3 | DATA = 08/10/2015 13:28 | MOTIVO_CANCELAMENTO = 
08/10/2015 13:28 - DORACI | USUARIO = 10886 | CI = 13503 | STATUS = 7 | DATA = 08/10/2015 13:28 | MOTIVO_CANCELAMENTO = 
08/10/2015 13:28 - DORACI | USUARIO = 10886 | CI = 13503 | STATUS = 3 | DATA = 08/10/2015 13:28 | MOTIVO_CANCELAMENTO = 
08/10/2015 13:28 - DORACI | USUARIO = 10886 | CI = 13504 | STATUS = 7 | DATA = 08/10/2015 13:28 | MOTIVO_CANCELAMENTO = 
08/10/2015 13:28 - DORACI | USUARIO = 10886 | CI = 13504 | STATUS = 3 | DATA = 08/10/2015 13:28 | MOTIVO_CANCELAMENTO = 
08/10/2015 14:48 - DORACI | USUARIO = 10886 | CI = 13508 | STATUS = 7 | DATA = 08/10/2015 14:48 | MOTIVO_CANCELAMENTO = 
