07/04/2015 07:06 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 07/04/2015 7:06
07/04/2015 07:08 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 07/04/2015 7:08
07/04/2015 07:14 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 07/04/2015 7:14
07/04/2015 07:18 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 07/04/2015 7:18
07/04/2015 07:21 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 07/04/2015 7:21
07/04/2015 07:29 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 07/04/2015 7:29
07/04/2015 07:45 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 07/04/2015 7:45
07/04/2015 07:50 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 07/04/2015 7:50
07/04/2015 07:50 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 07/04/2015 7:50
07/04/2015 08:11 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 07/04/2015 8:11
07/04/2015 08:17 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 07/04/2015 8:17
07/04/2015 08:19 - TIAGOLIMA | ID_USUARIO = 11092 | DATA_LOGIN = 07/04/2015 8:19
07/04/2015 08:31 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 07/04/2015 8:31
07/04/2015 08:31 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 07/04/2015 8:31
07/04/2015 08:47 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 07/04/2015 8:47
07/04/2015 08:47 - JG | ID_USUARIO = 10849 | DATA_LOGIN = 07/04/2015 8:47
