03/08/2017 13:07 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 03/08/2017 13:07
03/08/2017 13:25 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 03/08/2017 13:25
03/08/2017 13:26 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 03/08/2017 13:26
03/08/2017 13:31 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 03/08/2017 13:31
03/08/2017 13:35 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 03/08/2017 13:35
03/08/2017 13:44 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 03/08/2017 13:44
03/08/2017 13:48 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/08/2017 13:48
03/08/2017 13:51 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 03/08/2017 13:51
03/08/2017 14:08 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 03/08/2017 14:08
03/08/2017 14:24 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 03/08/2017 14:24
03/08/2017 14:40 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 03/08/2017 14:40
03/08/2017 15:03 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 03/08/2017 15:03
03/08/2017 15:37 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 03/08/2017 15:37
03/08/2017 15:40 - JENS | ID_USUARIO = 10895 | DATA_LOGIN = 03/08/2017 15:40
03/08/2017 15:41 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 03/08/2017 15:41
03/08/2017 15:45 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 03/08/2017 15:45
03/08/2017 15:46 - JENS | ID_USUARIO = 10895 | DATA_LOGIN = 03/08/2017 15:46
03/08/2017 15:50 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 03/08/2017 15:50
03/08/2017 15:57 - CHRISTIANO | ID_USUARIO = 11570 | DATA_LOGIN = 03/08/2017 15:57
03/08/2017 15:59 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 03/08/2017 15:59
03/08/2017 15:59 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 03/08/2017 15:59
03/08/2017 16:20 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 03/08/2017 16:20
03/08/2017 16:21 - JENS | ID_USUARIO = 10895 | DATA_LOGIN = 03/08/2017 16:21
03/08/2017 16:21 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 03/08/2017 16:21
03/08/2017 16:32 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 03/08/2017 16:32
03/08/2017 16:32 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 03/08/2017 16:32
03/08/2017 16:37 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/08/2017 16:37
03/08/2017 16:47 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 03/08/2017 16:47
03/08/2017 16:54 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 03/08/2017 16:54
