05/12/2017 07:21 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 05/12/2017 7:21
05/12/2017 07:22 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 05/12/2017 7:22
05/12/2017 07:29 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 05/12/2017 7:29
05/12/2017 07:30 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 05/12/2017 7:30
05/12/2017 07:35 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 05/12/2017 7:35
05/12/2017 07:35 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 05/12/2017 7:35
05/12/2017 07:46 - VALDEREZ | ID_USUARIO = 10871 | DATA_LOGIN = 05/12/2017 7:46
05/12/2017 07:49 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 05/12/2017 7:49
05/12/2017 08:16 - JG | ID_USUARIO = 10849 | DATA_LOGIN = 05/12/2017 8:16
05/12/2017 08:20 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 05/12/2017 8:20
