03/08/2017 11:09 - LUIDE | USUARIO = 10836 | CI = 21516 | STATUS = 3 | DATA = 03/08/2017 11:09 | MOTIVO_CANCELAMENTO = 
03/08/2017 11:13 - OSNY | USUARIO = 10826 | CI = 21522 | STATUS = 7 | DATA = 03/08/2017 11:13 | MOTIVO_CANCELAMENTO = 
03/08/2017 11:13 - OSNY | USUARIO = 10826 | CI = 21522 | STATUS = 3 | DATA = 03/08/2017 11:13 | MOTIVO_CANCELAMENTO = 
03/08/2017 12:00 - MARCIO | USUARIO = 10850 | CI = 21524 | STATUS = 7 | DATA = 03/08/2017 12:00 | MOTIVO_CANCELAMENTO = 
03/08/2017 12:00 - MARCIO | USUARIO = 10850 | CI = 21524 | STATUS = 3 | DATA = 03/08/2017 12:00 | MOTIVO_CANCELAMENTO = 
03/08/2017 13:04 - JT | USUARIO = 10823 | CI = 21525 | STATUS = 7 | DATA = 03/08/2017 13:04 | MOTIVO_CANCELAMENTO = 
03/08/2017 13:04 - JT | USUARIO = 10823 | CI = 21525 | STATUS = 3 | DATA = 03/08/2017 13:04 | MOTIVO_CANCELAMENTO = 
03/08/2017 13:44 - DOUGLAS | USUARIO = 11530 | CI = 21465 | STATUS = 3 | DATA = 03/08/2017 13:44 | MOTIVO_CANCELAMENTO = 
03/08/2017 13:44 - DOUGLAS | USUARIO = 11530 | CI = 21466 | STATUS = 3 | DATA = 03/08/2017 13:44 | MOTIVO_CANCELAMENTO = 
03/08/2017 13:44 - DOUGLAS | USUARIO = 11530 | CI = 21489 | STATUS = 3 | DATA = 03/08/2017 13:44 | MOTIVO_CANCELAMENTO = 
03/08/2017 13:44 - DOUGLAS | USUARIO = 11530 | CI = 21509 | STATUS = 3 | DATA = 03/08/2017 13:44 | MOTIVO_CANCELAMENTO = 
03/08/2017 13:44 - DOUGLAS | USUARIO = 11530 | CI = 21515 | STATUS = 3 | DATA = 03/08/2017 13:44 | MOTIVO_CANCELAMENTO = 
03/08/2017 15:57 - CHRISTIANO | USUARIO = 11570 | CI = 21453 | STATUS = 3 | DATA = 03/08/2017 15:57 | MOTIVO_CANCELAMENTO = 
03/08/2017 15:57 - CHRISTIANO | USUARIO = 11570 | CI = 21502 | STATUS = 3 | DATA = 03/08/2017 15:57 | MOTIVO_CANCELAMENTO = 
03/08/2017 15:58 - CHRISTIANO | USUARIO = 11570 | CI = 21503 | STATUS = 3 | DATA = 03/08/2017 15:58 | MOTIVO_CANCELAMENTO = 
03/08/2017 15:58 - CHRISTIANO | USUARIO = 11570 | CI = 21464 | STATUS = 3 | DATA = 03/08/2017 15:58 | MOTIVO_CANCELAMENTO = 
03/08/2017 15:58 - CHRISTIANO | USUARIO = 11570 | CI = 21515 | STATUS = 3 | DATA = 03/08/2017 15:58 | MOTIVO_CANCELAMENTO = 
