05/09/2018 10:04 - GRAZIELA | ID_USUARIO = 10984 | DATA_LOGIN = 05/09/2018 10:04
05/09/2018 10:54 - FELINHO | ID_USUARIO = 10901 | DATA_LOGIN = 05/09/2018 10:54
05/09/2018 10:56 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 05/09/2018 10:56
05/09/2018 10:56 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 05/09/2018 10:56
05/09/2018 11:16 - SONARAPIASSI | ID_USUARIO = 494 | DATA_LOGIN = 05/09/2018 11:16
05/09/2018 12:15 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 05/09/2018 12:15
05/09/2018 13:05 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 05/09/2018 13:05
05/09/2018 13:06 - GRAZIELA | ID_USUARIO = 10984 | DATA_LOGIN = 05/09/2018 13:06
05/09/2018 13:07 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 05/09/2018 13:07
05/09/2018 13:08 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 05/09/2018 13:08
05/09/2018 13:11 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 05/09/2018 13:11
05/09/2018 13:15 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 05/09/2018 13:15
05/09/2018 13:21 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 05/09/2018 13:21
05/09/2018 13:28 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 05/09/2018 13:28
05/09/2018 13:28 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/09/2018 13:28
05/09/2018 13:39 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/09/2018 13:39
05/09/2018 13:40 - ADRIANA | ID_USUARIO = 10859 | DATA_LOGIN = 05/09/2018 13:40
05/09/2018 13:50 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 05/09/2018 13:50
05/09/2018 13:55 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 05/09/2018 13:55
05/09/2018 13:55 - GRAZIELA | ID_USUARIO = 10984 | DATA_LOGIN = 05/09/2018 13:55
05/09/2018 14:26 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 05/09/2018 14:26
05/09/2018 14:32 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 05/09/2018 14:32
05/09/2018 14:38 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 05/09/2018 14:38
05/09/2018 14:39 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 05/09/2018 14:39
05/09/2018 14:44 - LUIDE | ID_USUARIO = 10836 | DATA_LOGIN = 05/09/2018 14:44
05/09/2018 14:44 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 05/09/2018 14:44
05/09/2018 14:56 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 05/09/2018 14:56
05/09/2018 15:10 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 05/09/2018 15:10
05/09/2018 15:14 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 05/09/2018 15:14
05/09/2018 15:25 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 05/09/2018 15:25
05/09/2018 15:37 - ANAGOBATO | ID_USUARIO = 7049 | DATA_LOGIN = 05/09/2018 15:37
05/09/2018 15:44 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/09/2018 15:44
05/09/2018 15:50 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 05/09/2018 15:50
05/09/2018 15:56 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 05/09/2018 15:56
05/09/2018 15:59 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 05/09/2018 15:59
05/09/2018 16:20 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 05/09/2018 16:20
05/09/2018 16:24 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 05/09/2018 16:24
05/09/2018 16:24 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 05/09/2018 16:24
05/09/2018 16:26 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 05/09/2018 16:26
05/09/2018 16:33 - ADRIANA | ID_USUARIO = 10859 | DATA_LOGIN = 05/09/2018 16:33
05/09/2018 16:35 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 05/09/2018 16:35
05/09/2018 16:37 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 05/09/2018 16:37
05/09/2018 16:40 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 05/09/2018 16:40
05/09/2018 16:47 - KLEBER | ID_USUARIO = 10906 | DATA_LOGIN = 05/09/2018 16:47
05/09/2018 18:17 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/09/2018 18:17
05/09/2018 22:01 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/09/2018 22:01
06/09/2018 07:06 - OSVALDOFLORES | ID_USUARIO = 11167 | DATA_LOGIN = 06/09/2018 7:06
06/09/2018 07:09 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 06/09/2018 7:09
06/09/2018 07:10 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 06/09/2018 7:10
06/09/2018 07:15 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 06/09/2018 7:15
06/09/2018 07:36 - THIAGO | ID_USUARIO = 10892 | DATA_LOGIN = 06/09/2018 7:36
06/09/2018 07:40 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 06/09/2018 7:40
06/09/2018 07:57 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 06/09/2018 7:57
06/09/2018 08:05 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 06/09/2018 8:05
06/09/2018 08:42 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 06/09/2018 8:42
06/09/2018 08:44 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 06/09/2018 8:44
06/09/2018 08:59 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 06/09/2018 8:59
06/09/2018 09:03 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 06/09/2018 9:03
06/09/2018 09:13 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 06/09/2018 9:13
06/09/2018 09:23 - CAMACETI | ID_USUARIO = 10981 | DATA_LOGIN = 06/09/2018 9:23
06/09/2018 10:03 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 06/09/2018 10:03
06/09/2018 10:06 - STEFANIAESTEVO | ID_USUARIO = 11398 | DATA_LOGIN = 06/09/2018 10:06
06/09/2018 10:10 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/09/2018 10:10
06/09/2018 10:11 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 06/09/2018 10:11
06/09/2018 10:25 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 06/09/2018 10:25
06/09/2018 10:40 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 06/09/2018 10:40
06/09/2018 10:50 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 06/09/2018 10:50
06/09/2018 10:59 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/09/2018 10:59
06/09/2018 11:18 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 06/09/2018 11:18
06/09/2018 11:20 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 06/09/2018 11:20
06/09/2018 11:45 - BRUNOCAMAROTTI | ID_USUARIO = 11392 | DATA_LOGIN = 06/09/2018 11:45
06/09/2018 11:53 - STEFANIAESTEVO | ID_USUARIO = 11398 | DATA_LOGIN = 06/09/2018 11:53
06/09/2018 12:05 - CAMACETI | ID_USUARIO = 10981 | DATA_LOGIN = 06/09/2018 12:05
06/09/2018 12:50 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 06/09/2018 12:50
06/09/2018 12:54 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 06/09/2018 12:54
06/09/2018 13:06 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 06/09/2018 13:06
06/09/2018 13:06 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 06/09/2018 13:06
06/09/2018 13:08 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 06/09/2018 13:08
06/09/2018 13:30 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 06/09/2018 13:30
