08/03/2016 07:17 - ROBSONMANFRIM | USUARIO = 11234 | CI = 15090 | STATUS = 3 | DATA = 08/03/2016 7:17 | MOTIVO_CANCELAMENTO = Vencimento 24/03/2016 

“Imposto será compensado via PER / DCOMP, entrar em contato com o Dep. Tributário”
08/03/2016 07:19 - ROBSONMANFRIM | USUARIO = 11234 | CI = 15087 | STATUS = 7 | DATA = 08/03/2016 7:19 | MOTIVO_CANCELAMENTO = “Imposto será compensado via PER / DCOMP, entrar em contato com o Dep. Tributário”
08/03/2016 07:20 - ROBSONMANFRIM | USUARIO = 11234 | CI = 15082 | STATUS = 7 | DATA = 08/03/2016 7:20 | MOTIVO_CANCELAMENTO = 
08/03/2016 07:21 - ROBSONMANFRIM | USUARIO = 11234 | CI = 15073 | STATUS = 7 | DATA = 08/03/2016 7:21 | MOTIVO_CANCELAMENTO = ISS retido - fornecedores prestação de serviços.
08/03/2016 07:21 - ROBSONMANFRIM | USUARIO = 11234 | CI = 15073 | STATUS = 3 | DATA = 08/03/2016 7:21 | MOTIVO_CANCELAMENTO = ISS retido - fornecedores prestação de serviços.
08/03/2016 07:34 - CHRISTIANO | USUARIO = 11570 | CI = 15082 | STATUS = 3 | DATA = 08/03/2016 7:34 | MOTIVO_CANCELAMENTO = 
08/03/2016 07:34 - CHRISTIANO | USUARIO = 11570 | CI = 15087 | STATUS = 3 | DATA = 08/03/2016 7:34 | MOTIVO_CANCELAMENTO = 
08/03/2016 07:35 - CHRISTIANO | USUARIO = 11570 | CI = 15094 | STATUS = 3 | DATA = 08/03/2016 7:35 | MOTIVO_CANCELAMENTO = 
08/03/2016 07:35 - CHRISTIANO | USUARIO = 11570 | CI = 15095 | STATUS = 3 | DATA = 08/03/2016 7:35 | MOTIVO_CANCELAMENTO = 
08/03/2016 07:35 - CHRISTIANO | USUARIO = 11570 | CI = 15098 | STATUS = 3 | DATA = 08/03/2016 7:35 | MOTIVO_CANCELAMENTO = 
08/03/2016 08:05 - FERNANDO | USUARIO = 10842 | CI = 15098 | STATUS = 3 | DATA = 08/03/2016 8:05 | MOTIVO_CANCELAMENTO = 
08/03/2016 08:05 - FERNANDO | USUARIO = 10842 | CI = 15095 | STATUS = 3 | DATA = 08/03/2016 8:05 | MOTIVO_CANCELAMENTO = 
08/03/2016 08:06 - FERNANDO | USUARIO = 10842 | CI = 15094 | STATUS = 3 | DATA = 08/03/2016 8:06 | MOTIVO_CANCELAMENTO = 
08/03/2016 08:06 - FERNANDO | USUARIO = 10842 | CI = 15087 | STATUS = 3 | DATA = 08/03/2016 8:06 | MOTIVO_CANCELAMENTO = 
08/03/2016 08:06 - FERNANDO | USUARIO = 10842 | CI = 15082 | STATUS = 3 | DATA = 08/03/2016 8:06 | MOTIVO_CANCELAMENTO = 
08/03/2016 09:48 - RONALDOGOMES | USUARIO = 10971 | CI = 15131 | STATUS = 4 | DATA = 08/03/2016 9:48 | MOTIVO_CANCELAMENTO = Falta informação.
08/03/2016 09:56 - RONALDOGOMES | USUARIO = 10971 | CI = 15132 | STATUS = 3 | DATA = 08/03/2016 9:56 | MOTIVO_CANCELAMENTO = 
08/03/2016 10:03 - RONALDOGOMES | USUARIO = 10971 | CI = 15134 | STATUS = 4 | DATA = 08/03/2016 10:03 | MOTIVO_CANCELAMENTO = Falta informação.
08/03/2016 10:04 - ROBSONMANFRIM | USUARIO = 11234 | CI = 15072 | STATUS = 7 | DATA = 08/03/2016 10:04 | MOTIVO_CANCELAMENTO = “Imposto será compensado via PER / DCOMP, entrar em contato com o Dep. Tributário”
08/03/2016 10:04 - ROBSONMANFRIM | USUARIO = 11234 | CI = 15072 | STATUS = 3 | DATA = 08/03/2016 10:04 | MOTIVO_CANCELAMENTO = “Imposto será compensado via PER / DCOMP, entrar em contato com o Dep. Tributário”
08/03/2016 10:12 - RONALDOGOMES | USUARIO = 10971 | CI = 15135 | STATUS = 3 | DATA = 08/03/2016 10:12 | MOTIVO_CANCELAMENTO = 
