06/07/2017 17:17 - JOAOROGANTE | USUARIO = 6966 | CI = 21186 | STATUS = 3 | DATA = 06/07/2017 17:17 | MOTIVO_CANCELAMENTO = 
06/07/2017 17:20 - JOAOROGANTE | USUARIO = 6966 | CI = 21188 | STATUS = 7 | DATA = 06/07/2017 17:20 | MOTIVO_CANCELAMENTO = 
07/07/2017 07:44 - AREIAS | USUARIO = 10997 | CI = 21196 | STATUS = 7 | DATA = 07/07/2017 7:44 | MOTIVO_CANCELAMENTO = 
07/07/2017 07:44 - AREIAS | USUARIO = 10997 | CI = 21198 | STATUS = 7 | DATA = 07/07/2017 7:44 | MOTIVO_CANCELAMENTO = 
07/07/2017 07:44 - AREIAS | USUARIO = 10997 | CI = 21198 | STATUS = 3 | DATA = 07/07/2017 7:44 | MOTIVO_CANCELAMENTO = 
07/07/2017 07:44 - AREIAS | USUARIO = 10997 | CI = 21203 | STATUS = 7 | DATA = 07/07/2017 7:44 | MOTIVO_CANCELAMENTO = 
07/07/2017 07:44 - AREIAS | USUARIO = 10997 | CI = 21210 | STATUS = 7 | DATA = 07/07/2017 7:44 | MOTIVO_CANCELAMENTO = 
07/07/2017 07:44 - AREIAS | USUARIO = 10997 | CI = 21210 | STATUS = 3 | DATA = 07/07/2017 7:44 | MOTIVO_CANCELAMENTO = 
07/07/2017 13:22 - ZEZE | USUARIO = 10931 | CI = 21188 | STATUS = 3 | DATA = 07/07/2017 13:22 | MOTIVO_CANCELAMENTO = 
07/07/2017 13:22 - ZEZE | USUARIO = 10931 | CI = 21211 | STATUS = 7 | DATA = 07/07/2017 13:22 | MOTIVO_CANCELAMENTO = 
07/07/2017 13:22 - ZEZE | USUARIO = 10931 | CI = 21211 | STATUS = 3 | DATA = 07/07/2017 13:22 | MOTIVO_CANCELAMENTO = 
07/07/2017 13:23 - ZEZE | USUARIO = 10931 | CI = 21212 | STATUS = 7 | DATA = 07/07/2017 13:23 | MOTIVO_CANCELAMENTO = 
07/07/2017 13:23 - ZEZE | USUARIO = 10931 | CI = 21212 | STATUS = 3 | DATA = 07/07/2017 13:23 | MOTIVO_CANCELAMENTO = 
07/07/2017 13:37 - DORACI | USUARIO = 10886 | CI = 21214 | STATUS = 7 | DATA = 07/07/2017 13:37 | MOTIVO_CANCELAMENTO = 
07/07/2017 13:40 - GISELERATEIRO | USUARIO = 11143 | CI = 21217 | STATUS = 7 | DATA = 07/07/2017 13:40 | MOTIVO_CANCELAMENTO = 
07/07/2017 14:11 - AMADEUBOVI | USUARIO = 6888 | CI = 21218 | STATUS = 5 | DATA = 07/07/2017 14:11 | MOTIVO_CANCELAMENTO = SERÁ FEITO ATRAVÉS DO SETOR FINANCEIRO.
07/07/2017 14:13 - LUIDE | USUARIO = 10836 | CI = 21219 | STATUS = 3 | DATA = 07/07/2017 14:13 | MOTIVO_CANCELAMENTO = 
07/07/2017 15:29 - TADEUMACHADO | USUARIO = 11594 | CI = 21204 | STATUS = 7 | DATA = 07/07/2017 15:29 | MOTIVO_CANCELAMENTO = 
07/07/2017 15:33 - ZEZE | USUARIO = 10931 | CI = 21222 | STATUS = 7 | DATA = 07/07/2017 15:33 | MOTIVO_CANCELAMENTO = 
07/07/2017 15:34 - TADEUMACHADO | USUARIO = 11594 | CI = 21208 | STATUS = 7 | DATA = 07/07/2017 15:34 | MOTIVO_CANCELAMENTO = 
07/07/2017 15:34 - TADEUMACHADO | USUARIO = 11594 | CI = 21209 | STATUS = 7 | DATA = 07/07/2017 15:34 | MOTIVO_CANCELAMENTO = 
07/07/2017 15:34 - TADEUMACHADO | USUARIO = 11594 | CI = 21209 | STATUS = 3 | DATA = 07/07/2017 15:34 | MOTIVO_CANCELAMENTO = 
07/07/2017 15:34 - TADEUMACHADO | USUARIO = 11594 | CI = 21221 | STATUS = 7 | DATA = 07/07/2017 15:34 | MOTIVO_CANCELAMENTO = 
07/07/2017 15:34 - TADEUMACHADO | USUARIO = 11594 | CI = 21221 | STATUS = 3 | DATA = 07/07/2017 15:34 | MOTIVO_CANCELAMENTO = 
07/07/2017 15:38 - TADEUMACHADO | USUARIO = 11594 | CI = 21216 | STATUS = 7 | DATA = 07/07/2017 15:38 | MOTIVO_CANCELAMENTO = 
07/07/2017 15:42 - TADEUMACHADO | USUARIO = 11594 | CI = 21220 | STATUS = 7 | DATA = 07/07/2017 15:42 | MOTIVO_CANCELAMENTO = 
07/07/2017 15:42 - CHRISTIANO | USUARIO = 11570 | CI = 21196 | STATUS = 3 | DATA = 07/07/2017 15:42 | MOTIVO_CANCELAMENTO = 
07/07/2017 15:42 - CHRISTIANO | USUARIO = 11570 | CI = 21222 | STATUS = 3 | DATA = 07/07/2017 15:42 | MOTIVO_CANCELAMENTO = 
