04/05/2016 14:21 - ALINEFERREIRA | ID_USUARIO = 11212 | DATA_LOGIN = 04/05/2016 14:21
04/05/2016 14:26 - MARCOS | ID_USUARIO = 10921 | DATA_LOGIN = 04/05/2016 14:26
04/05/2016 14:29 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 04/05/2016 14:29
04/05/2016 14:31 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 04/05/2016 14:31
04/05/2016 14:37 - MARCOS | ID_USUARIO = 10921 | DATA_LOGIN = 04/05/2016 14:37
04/05/2016 14:45 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/05/2016 14:45
04/05/2016 15:03 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 04/05/2016 15:03
04/05/2016 15:37 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 04/05/2016 15:37
04/05/2016 16:10 - DANILO | ID_USUARIO = 10923 | DATA_LOGIN = 04/05/2016 16:10
04/05/2016 16:13 - ALINEFERREIRA | ID_USUARIO = 11212 | DATA_LOGIN = 04/05/2016 16:13
04/05/2016 16:17 - CHRISTIANO | ID_USUARIO = 11570 | DATA_LOGIN = 04/05/2016 16:17
04/05/2016 16:23 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 04/05/2016 16:23
04/05/2016 16:25 - ADEIR | ID_USUARIO = 10916 | DATA_LOGIN = 04/05/2016 16:25
04/05/2016 16:31 - ACIR | ID_USUARIO = 10839 | DATA_LOGIN = 04/05/2016 16:31
04/05/2016 16:33 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 04/05/2016 16:33
04/05/2016 16:35 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 04/05/2016 16:35
04/05/2016 16:45 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 04/05/2016 16:45
04/05/2016 16:46 - MARCELOGODOI | ID_USUARIO = 11316 | DATA_LOGIN = 04/05/2016 16:46
04/05/2016 16:48 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 04/05/2016 16:48
04/05/2016 16:53 - REGI | ID_USUARIO = 10864 | DATA_LOGIN = 04/05/2016 16:53
04/05/2016 17:06 - SYLVIO | ID_USUARIO = 10914 | DATA_LOGIN = 04/05/2016 17:06
04/05/2016 17:08 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 04/05/2016 17:08
04/05/2016 18:46 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 04/05/2016 18:46
05/05/2016 07:17 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 05/05/2016 7:17
05/05/2016 07:17 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 05/05/2016 7:17
05/05/2016 07:19 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 05/05/2016 7:19
