05/06/2019 16:57 - LUIDE | ID_USUARIO = 10836 | DATA_LOGIN = 05/06/2019 16:57
05/06/2019 17:03 - CAMARA | ID_USUARIO = 10841 | DATA_LOGIN = 05/06/2019 17:03
05/06/2019 17:04 - JOAOROGANTE | ID_USUARIO = 6966 | DATA_LOGIN = 05/06/2019 17:04
05/06/2019 17:10 - FERNANDO | ID_USUARIO = 10842 | DATA_LOGIN = 05/06/2019 17:10
05/06/2019 17:11 - ANITA | ID_USUARIO = 11002 | DATA_LOGIN = 05/06/2019 17:11
05/06/2019 20:05 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 05/06/2019 20:05
05/06/2019 20:08 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 05/06/2019 20:08
05/06/2019 21:25 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/06/2019 21:25
05/06/2019 22:45 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/06/2019 22:45
05/06/2019 22:57 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/06/2019 22:57
06/06/2019 00:50 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/06/2019 0:50
06/06/2019 03:54 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 06/06/2019 3:54
06/06/2019 07:10 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 06/06/2019 7:10
06/06/2019 07:10 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 06/06/2019 7:10
06/06/2019 07:26 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 06/06/2019 7:26
06/06/2019 07:28 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 06/06/2019 7:28
06/06/2019 07:30 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 06/06/2019 7:30
06/06/2019 07:30 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 06/06/2019 7:30
06/06/2019 07:31 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 06/06/2019 7:31
06/06/2019 07:33 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 06/06/2019 7:33
06/06/2019 07:35 - KLEBER | ID_USUARIO = 10906 | DATA_LOGIN = 06/06/2019 7:35
06/06/2019 07:55 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/06/2019 7:55
06/06/2019 08:07 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/06/2019 8:07
06/06/2019 08:09 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 06/06/2019 8:09
06/06/2019 08:10 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 06/06/2019 8:10
06/06/2019 08:10 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 06/06/2019 8:10
06/06/2019 08:15 - HEBERTLUCIO | ID_USUARIO = 11635 | DATA_LOGIN = 06/06/2019 8:15
06/06/2019 08:40 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 06/06/2019 8:40
06/06/2019 08:43 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 06/06/2019 8:43
06/06/2019 08:48 - DONIZETE | ID_USUARIO = 10980 | DATA_LOGIN = 06/06/2019 8:48
06/06/2019 08:52 - FERNANDOPIRES | ID_USUARIO = 11220 | DATA_LOGIN = 06/06/2019 8:52
06/06/2019 09:02 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 06/06/2019 9:02
06/06/2019 10:04 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 06/06/2019 10:04
06/06/2019 10:11 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 06/06/2019 10:11
06/06/2019 10:15 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 06/06/2019 10:15
06/06/2019 10:15 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 06/06/2019 10:15
06/06/2019 10:17 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/06/2019 10:17
06/06/2019 10:29 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 06/06/2019 10:29
06/06/2019 10:33 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 06/06/2019 10:33
06/06/2019 10:39 - ELTON | ID_USUARIO = 10942 | DATA_LOGIN = 06/06/2019 10:39
06/06/2019 10:49 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 06/06/2019 10:49
06/06/2019 11:04 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 06/06/2019 11:04
06/06/2019 11:11 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/06/2019 11:11
06/06/2019 11:17 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 06/06/2019 11:17
06/06/2019 11:21 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/06/2019 11:21
06/06/2019 11:23 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/06/2019 11:23
06/06/2019 11:23 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/06/2019 11:23
06/06/2019 11:23 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/06/2019 11:23
06/06/2019 11:23 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/06/2019 11:23
06/06/2019 11:23 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/06/2019 11:23
06/06/2019 11:23 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/06/2019 11:23
06/06/2019 11:23 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/06/2019 11:23
06/06/2019 11:23 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/06/2019 11:23
06/06/2019 11:24 - JACKSON | ID_USUARIO = 10863 | DATA_LOGIN = 06/06/2019 11:24
06/06/2019 11:32 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/06/2019 11:32
