06/01/2017 11:13 - ROBSONMANFRIM | USUARIO = 11234 | CI = 18873 | STATUS = 7 | DATA = 06/01/2017 11:13 | MOTIVO_CANCELAMENTO = 
06/01/2017 11:13 - ROBSONMANFRIM | USUARIO = 11234 | CI = 18873 | STATUS = 3 | DATA = 06/01/2017 11:13 | MOTIVO_CANCELAMENTO = 
06/01/2017 11:51 - JENS | USUARIO = 10895 | CI = 18886 | STATUS = 3 | DATA = 06/01/2017 11:51 | MOTIVO_CANCELAMENTO = 
06/01/2017 11:51 - JENS | USUARIO = 10895 | CI = 18877 | STATUS = 3 | DATA = 06/01/2017 11:51 | MOTIVO_CANCELAMENTO = 
06/01/2017 11:54 - ZEZE | USUARIO = 10931 | CI = 18885 | STATUS = 7 | DATA = 06/01/2017 11:54 | MOTIVO_CANCELAMENTO = 
06/01/2017 11:54 - ZEZE | USUARIO = 10931 | CI = 18885 | STATUS = 3 | DATA = 06/01/2017 11:54 | MOTIVO_CANCELAMENTO = 
06/01/2017 11:54 - ZEZE | USUARIO = 10931 | CI = 18872 | STATUS = 3 | DATA = 06/01/2017 11:54 | MOTIVO_CANCELAMENTO = 
06/01/2017 13:42 - ZEZE | USUARIO = 10931 | CI = 18889 | STATUS = 7 | DATA = 06/01/2017 13:42 | MOTIVO_CANCELAMENTO = 
06/01/2017 13:42 - ZEZE | USUARIO = 10931 | CI = 18889 | STATUS = 3 | DATA = 06/01/2017 13:42 | MOTIVO_CANCELAMENTO = 
06/01/2017 14:09 - JG | USUARIO = 10849 | CI = 18884 | STATUS = 3 | DATA = 06/01/2017 14:09 | MOTIVO_CANCELAMENTO = ok
06/01/2017 14:52 - DOUGLAS | USUARIO = 11530 | CI = 18887 | STATUS = 3 | DATA = 06/01/2017 14:52 | MOTIVO_CANCELAMENTO = 
06/01/2017 14:52 - DOUGLAS | USUARIO = 11530 | CI = 18888 | STATUS = 3 | DATA = 06/01/2017 14:52 | MOTIVO_CANCELAMENTO = 
06/01/2017 15:16 - MATHEUSDELANEZA | USUARIO = 6900 | CI = 18881 | STATUS = 3 | DATA = 06/01/2017 15:16 | MOTIVO_CANCELAMENTO = 
06/01/2017 16:57 - MARCIO | USUARIO = 10850 | CI = 18890 | STATUS = 7 | DATA = 06/01/2017 16:57 | MOTIVO_CANCELAMENTO = 
06/01/2017 16:57 - MARCIO | USUARIO = 10850 | CI = 18890 | STATUS = 3 | DATA = 06/01/2017 16:57 | MOTIVO_CANCELAMENTO = 
06/01/2017 17:27 - ACIR | USUARIO = 10839 | CI = 18849 | STATUS = 7 | DATA = 06/01/2017 17:27 | MOTIVO_CANCELAMENTO = 
06/01/2017 17:28 - ACIR | USUARIO = 10839 | CI = 18840 | STATUS = 3 | DATA = 06/01/2017 17:28 | MOTIVO_CANCELAMENTO = 
06/01/2017 17:29 - ACIR | USUARIO = 10839 | CI = 18832 | STATUS = 3 | DATA = 06/01/2017 17:29 | MOTIVO_CANCELAMENTO = 
06/01/2017 17:29 - ACIR | USUARIO = 10839 | CI = 18828 | STATUS = 3 | DATA = 06/01/2017 17:29 | MOTIVO_CANCELAMENTO = 
06/01/2017 17:29 - ACIR | USUARIO = 10839 | CI = 18846 | STATUS = 7 | DATA = 06/01/2017 17:29 | MOTIVO_CANCELAMENTO = 
06/01/2017 17:29 - ACIR | USUARIO = 10839 | CI = 18845 | STATUS = 7 | DATA = 06/01/2017 17:29 | MOTIVO_CANCELAMENTO = 
08/01/2017 10:08 - DOUGLAS | USUARIO = 11530 | CI = 18845 | STATUS = 3 | DATA = 08/01/2017 10:08 | MOTIVO_CANCELAMENTO = 
08/01/2017 10:08 - DOUGLAS | USUARIO = 11530 | CI = 18846 | STATUS = 3 | DATA = 08/01/2017 10:08 | MOTIVO_CANCELAMENTO = 
08/01/2017 10:08 - DOUGLAS | USUARIO = 11530 | CI = 18849 | STATUS = 3 | DATA = 08/01/2017 10:08 | MOTIVO_CANCELAMENTO = 
09/01/2017 07:49 - JENS | USUARIO = 10895 | CI = 18892 | STATUS = 3 | DATA = 09/01/2017 7:49 | MOTIVO_CANCELAMENTO = 
09/01/2017 08:07 - ZEZE | USUARIO = 10931 | CI = 18891 | STATUS = 3 | DATA = 09/01/2017 8:07 | MOTIVO_CANCELAMENTO = 
09/01/2017 08:12 - ZEZE | USUARIO = 10931 | CI = 18893 | STATUS = 3 | DATA = 09/01/2017 8:12 | MOTIVO_CANCELAMENTO = 
09/01/2017 09:40 - MARTA | USUARIO = 10847 | CI = 18894 | STATUS = 3 | DATA = 09/01/2017 9:40 | MOTIVO_CANCELAMENTO = Aprovado.
