08/01/2016 12:46 - ROBSONMANFRIM | USUARIO = 11234 | CI = 14452 | STATUS = 3 | DATA = 08/01/2016 12:46 | MOTIVO_CANCELAMENTO = “Imposto será compensado via PER / DCOMP, entrar em contato com o Dep. Tributário”
08/01/2016 12:47 - ROBSONMANFRIM | USUARIO = 11234 | CI = 14453 | STATUS = 7 | DATA = 08/01/2016 12:47 | MOTIVO_CANCELAMENTO = “Imposto será compensado via PER / DCOMP, entrar em contato com o Dep. Tributário”
08/01/2016 12:48 - ROBSONMANFRIM | USUARIO = 11234 | CI = 14455 | STATUS = 7 | DATA = 08/01/2016 12:48 | MOTIVO_CANCELAMENTO = 
08/01/2016 12:48 - ROBSONMANFRIM | USUARIO = 11234 | CI = 14455 | STATUS = 3 | DATA = 08/01/2016 12:48 | MOTIVO_CANCELAMENTO = 
08/01/2016 12:50 - ROBSONMANFRIM | USUARIO = 11234 | CI = 14451 | STATUS = 7 | DATA = 08/01/2016 12:50 | MOTIVO_CANCELAMENTO = “Imposto será compensado via PER / DCOMP, entrar em contato com o Dep. Tributário”
08/01/2016 12:50 - ROBSONMANFRIM | USUARIO = 11234 | CI = 14451 | STATUS = 3 | DATA = 08/01/2016 12:50 | MOTIVO_CANCELAMENTO = “Imposto será compensado via PER / DCOMP, entrar em contato com o Dep. Tributário”
08/01/2016 12:59 - FERNANDO | USUARIO = 10842 | CI = 14463 | STATUS = 3 | DATA = 08/01/2016 12:59 | MOTIVO_CANCELAMENTO = 
08/01/2016 12:59 - FERNANDO | USUARIO = 10842 | CI = 14453 | STATUS = 3 | DATA = 08/01/2016 12:59 | MOTIVO_CANCELAMENTO = 
08/01/2016 15:27 - JT | USUARIO = 10823 | CI = 14467 | STATUS = 3 | DATA = 08/01/2016 15:27 | MOTIVO_CANCELAMENTO = 
08/01/2016 15:34 - AREIAS | USUARIO = 10997 | CI = 14465 | STATUS = 7 | DATA = 08/01/2016 15:34 | MOTIVO_CANCELAMENTO = 
08/01/2016 15:35 - AREIAS | USUARIO = 10997 | CI = 14470 | STATUS = 7 | DATA = 08/01/2016 15:35 | MOTIVO_CANCELAMENTO = 
08/01/2016 15:36 - AREIAS | USUARIO = 10997 | CI = 14471 | STATUS = 7 | DATA = 08/01/2016 15:36 | MOTIVO_CANCELAMENTO = 
08/01/2016 16:00 - OSNY | USUARIO = 10826 | CI = 14472 | STATUS = 7 | DATA = 08/01/2016 16:00 | MOTIVO_CANCELAMENTO = 
08/01/2016 16:00 - OSNY | USUARIO = 10826 | CI = 14472 | STATUS = 3 | DATA = 08/01/2016 16:00 | MOTIVO_CANCELAMENTO = 
08/01/2016 16:02 - CAMARA | USUARIO = 10841 | CI = 14468 | STATUS = 3 | DATA = 08/01/2016 16:02 | MOTIVO_CANCELAMENTO = COLABORADORES FORAM DISPENSADOS POR MOTIVO DE MUDANÇA DE TURNO DE SAFRA PARA TURNO DE ENTRE SAFRA
08/01/2016 16:19 - ZEZE | USUARIO = 10931 | CI = 14469 | STATUS = 3 | DATA = 08/01/2016 16:19 | MOTIVO_CANCELAMENTO = 
08/01/2016 16:30 - CAMARA | USUARIO = 10841 | CI = 14473 | STATUS = 3 | DATA = 08/01/2016 16:30 | MOTIVO_CANCELAMENTO = 
10/01/2016 05:47 - EDUARDO | USUARIO = 10844 | CI = 14471 | STATUS = 3 | DATA = 10/01/2016 5:47 | MOTIVO_CANCELAMENTO = 
10/01/2016 05:49 - EDUARDO | USUARIO = 10844 | CI = 14463 | STATUS = 3 | DATA = 10/01/2016 5:49 | MOTIVO_CANCELAMENTO = 
10/01/2016 05:49 - EDUARDO | USUARIO = 10844 | CI = 14453 | STATUS = 3 | DATA = 10/01/2016 5:49 | MOTIVO_CANCELAMENTO = 
10/01/2016 05:51 - EDUARDO | USUARIO = 10844 | CI = 14470 | STATUS = 3 | DATA = 10/01/2016 5:51 | MOTIVO_CANCELAMENTO = 
10/01/2016 21:06 - DOUGLAS | USUARIO = 11530 | CI = 14470 | STATUS = 3 | DATA = 10/01/2016 21:06 | MOTIVO_CANCELAMENTO = 
10/01/2016 21:06 - DOUGLAS | USUARIO = 11530 | CI = 14471 | STATUS = 3 | DATA = 10/01/2016 21:06 | MOTIVO_CANCELAMENTO = 
10/01/2016 21:07 - DOUGLAS | USUARIO = 11530 | CI = 14465 | STATUS = 3 | DATA = 10/01/2016 21:07 | MOTIVO_CANCELAMENTO = 
11/01/2016 08:38 - CAMARA | USUARIO = 10841 | CI = 14475 | STATUS = 3 | DATA = 11/01/2016 8:38 | MOTIVO_CANCELAMENTO = 
11/01/2016 08:38 - CAMARA | USUARIO = 10841 | CI = 14476 | STATUS = 3 | DATA = 11/01/2016 8:38 | MOTIVO_CANCELAMENTO = 
11/01/2016 09:16 - HEITOR | USUARIO = 10996 | CI = 14477 | STATUS = 3 | DATA = 11/01/2016 9:16 | MOTIVO_CANCELAMENTO = 
11/01/2016 09:16 - HEITOR | USUARIO = 10996 | CI = 14478 | STATUS = 3 | DATA = 11/01/2016 9:16 | MOTIVO_CANCELAMENTO = 
11/01/2016 10:01 - AREIAS | USUARIO = 10997 | CI = 14480 | STATUS = 7 | DATA = 11/01/2016 10:01 | MOTIVO_CANCELAMENTO = 
11/01/2016 10:12 - DOUGLAS | USUARIO = 11530 | CI = 14480 | STATUS = 3 | DATA = 11/01/2016 10:12 | MOTIVO_CANCELAMENTO = 
11/01/2016 10:29 - ZEZE | USUARIO = 10931 | CI = 14479 | STATUS = 7 | DATA = 11/01/2016 10:29 | MOTIVO_CANCELAMENTO = 
11/01/2016 10:29 - ZEZE | USUARIO = 10931 | CI = 14479 | STATUS = 3 | DATA = 11/01/2016 10:29 | MOTIVO_CANCELAMENTO = 
11/01/2016 12:15 - AREIAS | USUARIO = 10997 | CI = 14483 | STATUS = 7 | DATA = 11/01/2016 12:15 | MOTIVO_CANCELAMENTO = 
11/01/2016 12:16 - AREIAS | USUARIO = 10997 | CI = 14484 | STATUS = 7 | DATA = 11/01/2016 12:16 | MOTIVO_CANCELAMENTO = 
11/01/2016 13:34 - FERNANDO | USUARIO = 10842 | CI = 14480 | STATUS = 3 | DATA = 11/01/2016 13:34 | MOTIVO_CANCELAMENTO = 
11/01/2016 13:34 - FERNANDO | USUARIO = 10842 | CI = 14465 | STATUS = 3 | DATA = 11/01/2016 13:34 | MOTIVO_CANCELAMENTO = 
11/01/2016 14:06 - AREIAS | USUARIO = 10997 | CI = 14485 | STATUS = 7 | DATA = 11/01/2016 14:06 | MOTIVO_CANCELAMENTO = 
11/01/2016 14:08 - AREIAS | USUARIO = 10997 | CI = 14486 | STATUS = 7 | DATA = 11/01/2016 14:08 | MOTIVO_CANCELAMENTO = 
11/01/2016 15:01 - AREIAS | USUARIO = 10997 | CI = 14487 | STATUS = 7 | DATA = 11/01/2016 15:01 | MOTIVO_CANCELAMENTO = 
11/01/2016 15:56 - ACIR | USUARIO = 10839 | CI = 14482 | STATUS = 7 | DATA = 11/01/2016 15:56 | MOTIVO_CANCELAMENTO = 
11/01/2016 16:24 - SYLVIO | USUARIO = 10914 | CI = 14482 | STATUS = 3 | DATA = 11/01/2016 16:24 | MOTIVO_CANCELAMENTO = 
11/01/2016 16:25 - SYLVIO | USUARIO = 10914 | CI = 14487 | STATUS = 3 | DATA = 11/01/2016 16:25 | MOTIVO_CANCELAMENTO = 
