02/02/2018 10:04 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 02/02/2018 10:04
02/02/2018 10:05 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 02/02/2018 10:05
02/02/2018 10:07 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 02/02/2018 10:07
02/02/2018 10:18 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 02/02/2018 10:18
02/02/2018 10:19 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 02/02/2018 10:19
02/02/2018 10:20 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 02/02/2018 10:20
02/02/2018 10:30 - FABRICIOTOMASETTO | ID_USUARIO = 6954 | DATA_LOGIN = 02/02/2018 10:30
02/02/2018 10:41 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 02/02/2018 10:41
02/02/2018 10:45 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 02/02/2018 10:45
02/02/2018 10:49 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 02/02/2018 10:49
02/02/2018 10:53 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 02/02/2018 10:53
02/02/2018 11:04 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 02/02/2018 11:04
02/02/2018 11:08 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 02/02/2018 11:08
02/02/2018 11:08 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 02/02/2018 11:08
02/02/2018 11:15 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 02/02/2018 11:15
02/02/2018 11:17 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 02/02/2018 11:17
02/02/2018 11:21 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 02/02/2018 11:21
02/02/2018 11:24 - KLEBER | ID_USUARIO = 10906 | DATA_LOGIN = 02/02/2018 11:24
02/02/2018 11:48 - ELTON | ID_USUARIO = 10942 | DATA_LOGIN = 02/02/2018 11:48
02/02/2018 11:52 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 02/02/2018 11:52
02/02/2018 12:26 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/02/2018 12:26
02/02/2018 13:01 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 02/02/2018 13:01
02/02/2018 13:03 - ANGELO | ID_USUARIO = 10969 | DATA_LOGIN = 02/02/2018 13:03
02/02/2018 13:11 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 02/02/2018 13:11
02/02/2018 13:11 - CAIOAUGUSTO | ID_USUARIO = 11320 | DATA_LOGIN = 02/02/2018 13:11
02/02/2018 13:12 - CAIOAUGUSTO | ID_USUARIO = 11320 | DATA_LOGIN = 02/02/2018 13:12
02/02/2018 13:16 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/02/2018 13:16
02/02/2018 13:23 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/02/2018 13:23
02/02/2018 13:24 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 02/02/2018 13:24
02/02/2018 13:27 - KLEBER | ID_USUARIO = 10906 | DATA_LOGIN = 02/02/2018 13:27
02/02/2018 13:27 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 02/02/2018 13:27
02/02/2018 13:32 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 02/02/2018 13:32
02/02/2018 13:50 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 02/02/2018 13:50
02/02/2018 13:52 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/02/2018 13:52
02/02/2018 13:56 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 02/02/2018 13:56
02/02/2018 13:57 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 02/02/2018 13:57
02/02/2018 14:10 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 02/02/2018 14:10
02/02/2018 14:10 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 02/02/2018 14:10
02/02/2018 14:11 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 02/02/2018 14:11
02/02/2018 14:22 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 02/02/2018 14:22
02/02/2018 14:31 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 02/02/2018 14:31
02/02/2018 14:57 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 02/02/2018 14:57
02/02/2018 15:03 - JACKSON | ID_USUARIO = 10863 | DATA_LOGIN = 02/02/2018 15:03
02/02/2018 15:07 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/02/2018 15:07
02/02/2018 15:07 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 02/02/2018 15:07
02/02/2018 15:16 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 02/02/2018 15:16
02/02/2018 15:16 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 02/02/2018 15:16
02/02/2018 15:16 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 02/02/2018 15:16
