03/03/2017 08:10 - GISELERATEIRO | ID_USUARIO = 11143 | DATA_LOGIN = 03/03/2017 8:10
03/03/2017 08:21 - JULIANACORREA | ID_USUARIO = 11504 | DATA_LOGIN = 03/03/2017 8:21
03/03/2017 08:21 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/03/2017 8:21
03/03/2017 08:36 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 03/03/2017 8:36
03/03/2017 08:42 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 03/03/2017 8:42
03/03/2017 08:54 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/03/2017 8:54
03/03/2017 08:57 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 03/03/2017 8:57
03/03/2017 08:59 - JULIANACORREA | ID_USUARIO = 11504 | DATA_LOGIN = 03/03/2017 8:59
03/03/2017 09:02 - JACKSON | ID_USUARIO = 10863 | DATA_LOGIN = 03/03/2017 9:02
03/03/2017 09:03 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/03/2017 9:03
03/03/2017 09:04 - CAMARA | ID_USUARIO = 10841 | DATA_LOGIN = 03/03/2017 9:04
03/03/2017 09:13 - MICHELSANTOS | ID_USUARIO = 11324 | DATA_LOGIN = 03/03/2017 9:13
03/03/2017 09:26 - GISELERATEIRO | ID_USUARIO = 11143 | DATA_LOGIN = 03/03/2017 9:26
03/03/2017 09:27 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 03/03/2017 9:27
03/03/2017 09:34 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 03/03/2017 9:34
03/03/2017 09:37 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/03/2017 9:37
03/03/2017 09:37 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 03/03/2017 9:37
03/03/2017 09:42 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 03/03/2017 9:42
03/03/2017 09:45 - REGI | ID_USUARIO = 10864 | DATA_LOGIN = 03/03/2017 9:45
03/03/2017 09:46 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 03/03/2017 9:46
03/03/2017 09:50 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 03/03/2017 9:50
03/03/2017 09:54 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 03/03/2017 9:54
03/03/2017 10:16 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 03/03/2017 10:16
03/03/2017 10:24 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 03/03/2017 10:24
03/03/2017 10:24 - LUIDE | ID_USUARIO = 10836 | DATA_LOGIN = 03/03/2017 10:24
03/03/2017 10:27 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 03/03/2017 10:27
03/03/2017 10:29 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 03/03/2017 10:29
03/03/2017 10:34 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 03/03/2017 10:34
03/03/2017 10:38 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 03/03/2017 10:38
03/03/2017 10:51 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 03/03/2017 10:51
03/03/2017 10:55 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 03/03/2017 10:55
03/03/2017 11:16 - VALDINEI | ID_USUARIO = 11172 | DATA_LOGIN = 03/03/2017 11:16
03/03/2017 11:33 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 03/03/2017 11:33
03/03/2017 11:34 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/03/2017 11:34
03/03/2017 11:41 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 03/03/2017 11:41
03/03/2017 12:00 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/03/2017 12:00
03/03/2017 12:46 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 03/03/2017 12:46
03/03/2017 12:54 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 03/03/2017 12:54
