07/03/2018 15:28 - ZEZE | USUARIO = 10931 | CI = 24042 | STATUS = 3 | DATA = 07/03/2018 15:28 | MOTIVO_CANCELAMENTO = 
07/03/2018 15:29 - ZEZE | USUARIO = 10931 | CI = 24040 | STATUS = 3 | DATA = 07/03/2018 15:29 | MOTIVO_CANCELAMENTO = 
07/03/2018 15:29 - ZEZE | USUARIO = 10931 | CI = 24039 | STATUS = 3 | DATA = 07/03/2018 15:29 | MOTIVO_CANCELAMENTO = 
07/03/2018 15:44 - ALEXANDRE | USUARIO = 10837 | CI = 23967 | STATUS = 3 | DATA = 07/03/2018 15:44 | MOTIVO_CANCELAMENTO = 
07/03/2018 15:45 - ALEXANDRE | USUARIO = 10837 | CI = 24008 | STATUS = 7 | DATA = 07/03/2018 15:45 | MOTIVO_CANCELAMENTO = 
07/03/2018 15:45 - ALEXANDRE | USUARIO = 10837 | CI = 24008 | STATUS = 3 | DATA = 07/03/2018 15:45 | MOTIVO_CANCELAMENTO = 
07/03/2018 15:45 - ALEXANDRE | USUARIO = 10837 | CI = 24009 | STATUS = 7 | DATA = 07/03/2018 15:45 | MOTIVO_CANCELAMENTO = 
07/03/2018 15:45 - ALEXANDRE | USUARIO = 10837 | CI = 24009 | STATUS = 3 | DATA = 07/03/2018 15:45 | MOTIVO_CANCELAMENTO = 
07/03/2018 16:09 - ZEZE | USUARIO = 10931 | CI = 24045 | STATUS = 7 | DATA = 07/03/2018 16:09 | MOTIVO_CANCELAMENTO = 
07/03/2018 16:09 - ZEZE | USUARIO = 10931 | CI = 24045 | STATUS = 3 | DATA = 07/03/2018 16:09 | MOTIVO_CANCELAMENTO = 
07/03/2018 16:28 - ZEZE | USUARIO = 10931 | CI = 24046 | STATUS = 7 | DATA = 07/03/2018 16:28 | MOTIVO_CANCELAMENTO = 
07/03/2018 16:28 - ZEZE | USUARIO = 10931 | CI = 24046 | STATUS = 3 | DATA = 07/03/2018 16:28 | MOTIVO_CANCELAMENTO = 
