07/03/2019 07:39 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 07/03/2019 7:39
07/03/2019 07:39 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 07/03/2019 7:39
07/03/2019 07:41 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 07/03/2019 7:41
07/03/2019 07:44 - THIAGO | ID_USUARIO = 10892 | DATA_LOGIN = 07/03/2019 7:44
07/03/2019 07:50 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 07/03/2019 7:50
07/03/2019 07:57 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 07/03/2019 7:57
07/03/2019 08:00 - SONARAPIASSI | ID_USUARIO = 494 | DATA_LOGIN = 07/03/2019 8:00
07/03/2019 08:09 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 07/03/2019 8:09
07/03/2019 08:12 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 07/03/2019 8:12
07/03/2019 08:16 - KLEBER | ID_USUARIO = 10906 | DATA_LOGIN = 07/03/2019 8:16
07/03/2019 08:28 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 07/03/2019 8:28
07/03/2019 08:31 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 07/03/2019 8:31
07/03/2019 08:38 - HEBERTLUCIO | ID_USUARIO = 11635 | DATA_LOGIN = 07/03/2019 8:38
07/03/2019 08:50 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 07/03/2019 8:50
07/03/2019 08:54 - PARDAL | ID_USUARIO = 10903 | DATA_LOGIN = 07/03/2019 8:54
07/03/2019 08:57 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 07/03/2019 8:57
07/03/2019 08:58 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 07/03/2019 8:58
07/03/2019 09:21 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 07/03/2019 9:21
07/03/2019 09:27 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 07/03/2019 9:27
07/03/2019 09:30 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 07/03/2019 9:30
07/03/2019 09:44 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 07/03/2019 9:44
07/03/2019 09:47 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 07/03/2019 9:47
07/03/2019 09:47 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 07/03/2019 9:47
07/03/2019 09:48 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 07/03/2019 9:48
07/03/2019 09:48 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 07/03/2019 9:48
07/03/2019 09:56 - KLEBER | ID_USUARIO = 10906 | DATA_LOGIN = 07/03/2019 9:56
07/03/2019 10:05 - SONARAPIASSI | ID_USUARIO = 494 | DATA_LOGIN = 07/03/2019 10:05
07/03/2019 10:10 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 07/03/2019 10:10
07/03/2019 10:10 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 07/03/2019 10:10
07/03/2019 10:17 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 07/03/2019 10:17
07/03/2019 10:19 - HEBERTLUCIO | ID_USUARIO = 11635 | DATA_LOGIN = 07/03/2019 10:19
07/03/2019 10:20 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 07/03/2019 10:20
07/03/2019 10:31 - JENS | ID_USUARIO = 10895 | DATA_LOGIN = 07/03/2019 10:31
07/03/2019 11:03 - FERNANDOPIRES | ID_USUARIO = 11220 | DATA_LOGIN = 07/03/2019 11:03
07/03/2019 11:04 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 07/03/2019 11:04
07/03/2019 11:19 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 07/03/2019 11:19
07/03/2019 11:27 - SONARAPIASSI | ID_USUARIO = 494 | DATA_LOGIN = 07/03/2019 11:27
07/03/2019 11:29 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 07/03/2019 11:29
