05/04/2016 16:04 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 05/04/2016 16:04
05/04/2016 16:14 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 05/04/2016 16:14
05/04/2016 16:22 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 05/04/2016 16:22
05/04/2016 16:39 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 05/04/2016 16:39
05/04/2016 16:39 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 05/04/2016 16:39
05/04/2016 16:42 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 05/04/2016 16:42
05/04/2016 17:31 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 05/04/2016 17:31
05/04/2016 20:14 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 05/04/2016 20:14
05/04/2016 21:59 - FERNANDO | ID_USUARIO = 10842 | DATA_LOGIN = 05/04/2016 21:59
05/04/2016 22:08 - SYLVIO | ID_USUARIO = 10914 | DATA_LOGIN = 05/04/2016 22:08
06/04/2016 07:06 - MARCOS | ID_USUARIO = 10921 | DATA_LOGIN = 06/04/2016 7:06
06/04/2016 07:11 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 06/04/2016 7:11
06/04/2016 07:12 - VALDEREZ | ID_USUARIO = 10871 | DATA_LOGIN = 06/04/2016 7:12
06/04/2016 07:21 - CHRISTIANO | ID_USUARIO = 11570 | DATA_LOGIN = 06/04/2016 7:21
06/04/2016 07:26 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 06/04/2016 7:26
06/04/2016 07:26 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 06/04/2016 7:26
06/04/2016 07:45 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 06/04/2016 7:45
06/04/2016 07:53 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 06/04/2016 7:53
06/04/2016 08:09 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 06/04/2016 8:09
06/04/2016 08:12 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/04/2016 8:12
06/04/2016 08:13 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/04/2016 8:13
06/04/2016 08:15 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 06/04/2016 8:15
06/04/2016 08:16 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 06/04/2016 8:16
06/04/2016 08:21 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 06/04/2016 8:21
06/04/2016 08:22 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 06/04/2016 8:22
